id_run,data,modelo,dataset,combinacao,fold,acuracia,precisao,recall,f1,auc,perda_treino
21,20260812,resnet50,UCSB,img_original,3,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.888888888888889,0.0035578457769961692
22,20260812,resnet50,UCSB,img_original,4,0.6363636363636364,0.5714285714285714,0.8,0.6666666666666666,0.7666666666666666,0.007936842082880246
23,20260812,resnet50,UCSB,img_original,5,1.0,1.0,1.0,1.0,1.0,0.0042009769867245965
24,20260812,resnet50,UCSB,img_original,media,0.8106060606060606,0.7920634920634921,0.8866666666666667,0.8206349206349206,0.9082539682539682,
25,20260812,resnet50,CR,img_original,1,1.0,1.0,1.0,1.0,1.0,0.0339782187282773
26,20260812,resnet50,CR,img_original,2,0.9393939393939394,0.9,1.0,0.9473684210526315,0.9851851851851852,0.007557497334866119
27,20260812,resnet50,CR,img_original,3,1.0,1.0,1.0,1.0,1.0,0.01466837915774834
28,20260812,resnet50,CR,img_original,4,1.0,1.0,1.0,1.0,1.0,0.0068759809780333725
29,20260812,resnet50,CR,img_original,5,0.9393939393939394,1.0,0.8947368421052632,0.9444444444444444,0.9924812030075189,0.0050877028968118665
30,20260812,resnet50,CR,img_original,media,0.9757575757575758,0.9800000000000001,0.9789473684210526,0.9783625730994151,0.9955332776385408,
31,20260812,resnet50,CR,recplot,1,0.8787878787878788,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9481481481481482,0.0017862040507939778
32,20260812,resnet50,CR,recplot,2,0.8181818181818182,0.7727272727272727,0.9444444444444444,0.85,0.9074074074074074,0.05937589821405709
33,20260812,resnet50,CR,recplot,3,0.9090909090909091,1.0,0.8333333333333334,0.9090909090909091,0.962962962962963,0.06511203565501741
34,20260812,resnet50,CR,recplot,4,0.9090909090909091,0.8947368421052632,0.9444444444444444,0.918918918918919,0.9185185185185185,0.10561410204640456
35,20260812,resnet50,CR,recplot,5,0.8484848484848485,0.8181818181818182,0.9473684210526315,0.8780487804878049,0.9548872180451128,0.015355967933179013
36,20260812,resnet50,CR,recplot,media,0.8727272727272727,0.8749069643806486,0.9116959064327486,0.8889894994773044,0.9383848510164301,
